Email,Sexo,Cidade,Estado
cliente222@gmail.com,M,São Paulo,SP
cliente35@gmail.com,M,São Paulo,SP
cliente44@outlook.com,F,São José dos Campos,SP
cliente175@gmail.com,M,Recife,PE
cliente32@outlook.com,F,Belo Horizonte,MG
cliente104@gmail.com,M,São Paulo,SP
cliente92@yahoo.com.br,F,Campinas,SP
cliente80@bol.com.br,F,Campinas,SP
cliente253@yahoo.com.br,M,Recife,PE
cliente128@gmail.com,M,Contagem,MG
cliente142@gmail.com,M,Manaus,AM
cliente94@gmail.com,M,Curitiba,PR
cliente65@gmail.com,M,São Paulo,SP
cliente39@outlook.com,F,São Paulo,SP
cliente22@outlook.com,M,Rio de Janeiro,RJ
cliente252@bol.com.br,F,São Paulo,SP
cliente43@outlook.com,,Natal,RN
cliente121@outlook.com,M,Manaus,AM
cliente130@yahoo.com.br,M,Rio de Janeiro,RJ
cliente166@gmail.com,F,Campinas,SP
cliente237@gmail.com,M,Florianópolis,SC
cliente16@gmail.com,M,Recife,PE
cliente236@outlook.com,M,Rio de Janeiro,RJ
cliente29@gmail.com,M,Caraguatatuba,SP
cliente226@yahoo.com.br,M,São Paulo,SP
cliente205@outlook.com,M,Fortaleza,CE
cliente97@outlook.com,M,Angra dos Reis,RJ
cliente59@gmail.com,M,Caraguatatuba,SP
cliente115@outlook.com,,São Paulo,SP
cliente170@outlook.com,,Cotia,SP
cliente81@bol.com.br,F,São Paulo,SP
cliente179@gmail.com,M,Fortaleza,CE
cliente270@yahoo.com.br,F,Natal,RN
cliente1@bol.com.br,M,Recife,PE
cliente27@gmail.com,F,Brasília,DF
cliente191@outlook.com,M,Fortaleza,CE
cliente149@gmail.com,M,Belo Horizonte,MG
cliente38@gmail.com,M,Florianópolis,SC
cliente221@outlook.com,F,Belo Horizonte,MG
cliente70@gmail.com,M,São José dos Campos,SP
cliente230@outlook.com,M,Angra dos Reis,RJ
cliente76@gmail.com,M,Fortaleza,CE
cliente11@outlook.com,M,Manaus,AM
cliente156@outlook.com,F,Caraguatatuba,SP
cliente271@gmail.com,M,São Paulo,SP
cliente215@gmail.com,M,São Paulo,SP
cliente107@gmail.com,M,Curitiba,PR
cliente114@outlook.com,M,Curitiba,PR
cliente135@gmail.com,M,Campinas,SP
cliente281@gmail.com,M,Caraguatatuba,SP
cliente90@gmail.com,M,Contagem,MG
cliente8@outlook.com,F,Curitiba,PR
cliente285@outlook.com,F,Belo Horizonte,MG
cliente5@gmail.com,,São José dos Campos,SP
cliente261@outlook.com,F,Curitiba,PR
cliente101@gmail.com,M,São José dos Campos,SP
cliente79@gmail.com,M,São Paulo,SP
cliente159@outlook.com,M,Manaus,AM
cliente244@bol.com.br,M,São Paulo,SP
cliente66@yahoo.com.br,F,Belo Horizonte,MG
cliente62@gmail.com,M,Fortaleza,CE
cliente146@outlook.com,F,Cotia,SP
cliente136@gmail.com,F,Brasília,DF
cliente64@outlook.com,M,Londrina,PR
cliente208@gmail.com,M,Cotia,SP
cliente167@outlook.com,M,Angra dos Reis,RJ
cliente174@gmail.com,M,Caraguatatuba,SP
cliente47@yahoo.com.br,M,São Paulo,SP
cliente131@outlook.com,M,Angra dos Reis,RJ
cliente42@bol.com.br,F,São José dos Campos,SP
cliente229@yahoo.com.br,,Rio de Janeiro,RJ
cliente186@outlook.com,F,Belo Horizonte,MG
cliente112@outlook.com,M,Manaus,AM
cliente274@gmail.com,M,Recife,PE
cliente243@gmail.com,M,Recife,PE
cliente209@gmail.com,M,Recife,PE
cliente210@gmail.com,M,Fortaleza,CE
cliente184@outlook.com,M,Rio de Janeiro,RJ
cliente276@outlook.com,M,Manaus,AM
cliente279@bol.com.br,F,Campinas,SP
cliente293@outlook.com,M,Curitiba,PR
cliente288@outlook.com,M,Manaus,AM
cliente46@outlook.com,M,Florianópolis,SC
cliente249@bol.com.br,F,Rio de Janeiro,RJ
cliente111@gmail.com,M,Fortaleza,CE
cliente163@yahoo.com.br,M,São Paulo,SP
cliente91@gmail.com,M,Rio de Janeiro,RJ
cliente187@yahoo.com.br,F,Belo Horizonte,MG
cliente250@outlook.com,M,Angra dos Reis,RJ
cliente201@gmail.com,M,Cotia,SP
cliente165@outlook.com,,Natal,RN
cliente296@outlook.com,,Goiânia,GO
cliente134@outlook.com,,Jacareí,SP
cliente218@yahoo.com.br,M,São José dos Campos,SP
cliente223@yahoo.com.br,M,Fortaleza,CE
cliente181@gmail.com,M,Londrina,PR
cliente75@bol.com.br,F,Cordisburgo,MG
cliente185@yahoo.com.br,M,Cotia,SP
cliente214@outlook.com,M,São Paulo,SP
cliente282@gmail.com,F,Natal,RN
cliente110@gmail.com,M,Recife,PE
cliente73@bol.com.br,F,Fortaleza,CE
cliente153@bol.com.br,F,São Paulo,SP
cliente117@gmail.com,M,São Paulo,SP
cliente241@gmail.com,M,Manaus,AM
cliente98@outlook.com,M,Angra dos Reis,RJ
cliente30@gmail.com,F,Campinas,SP
cliente273@gmail.com,M,Caraguatatuba,SP
cliente141@gmail.com,M,Rio de Janeiro,RJ
cliente290@outlook.com,M,Fortaleza,CE
cliente204@bol.com.br,F,Cordisburgo,MG
cliente72@outlook.com,M,Goiânia,GO
cliente178@bol.com.br,F,Fortaleza,CE
cliente161@yahoo.com.br,M,São Paulo,SP
cliente147@gmail.com,F,Manaus,AM
cliente197@outlook.com,M,Goiânia,GO
cliente283@outlook.com,M,Rio de Janeiro,RJ
cliente78@outlook.com,F,Fortaleza,CE
cliente235@gmail.com,F,Brasília,DF
cliente277@bol.com.br,F,Fortaleza,CE
cliente248@gmail.com,M,Belo Horizonte,MG
cliente262@yahoo.com.br,M,São Paulo,SP
cliente31@yahoo.com.br,M,São Paulo,SP
cliente50@outlook.com,M,Manaus,AM
cliente36@yahoo.com.br,F,Natal,RN
cliente192@gmail.com,M,São Paulo,SP
cliente109@gmail.com,,Cotia,SP
cliente57@gmail.com,F,Brasília,DF
cliente9@gmail.com,F,São Paulo,SP
cliente162@outlook.com,F,Curitiba,PR
cliente266@outlook.com,M,Angra dos Reis,RJ
cliente118@gmail.com,M,Florianópolis,SC
cliente291@gmail.com,M,São Paulo,SP
cliente122@outlook.com,F,Belo Horizonte,MG
cliente19@yahoo.com.br,M,Recife,PE
cliente145@bol.com.br,M,São Paulo,SP
cliente292@bol.com.br,M,Belo Horizonte,MG
cliente294@yahoo.com.br,M,Contagem,MG
cliente207@gmail.com,F,São Paulo,SP
cliente18@yahoo.com.br,M,Fortaleza,CE
cliente99@gmail.com,M,São Paulo,SP
cliente257@outlook.com,M,Florianópolis,SC
cliente83@gmail.com,M,Cotia,SP
cliente189@outlook.com,M,Manaus,AM
cliente86@yahoo.com.br,M,São José dos Campos,SP
cliente168@yahoo.com.br,F,Campinas,SP
cliente60@gmail.com,M,Florianópolis,SC
cliente126@gmail.com,F,Campinas,SP
cliente247@outlook.com,M,Fortaleza,CE
cliente102@gmail.com,M,Cotia,SP
cliente220@outlook.com,M,Manaus,AM
cliente123@gmail.com,,São Paulo,SP
cliente127@yahoo.com.br,,São Paulo,SP
cliente180@bol.com.br,F,Campinas,SP
cliente120@outlook.com,M,Londrina,PR
cliente154@yahoo.com.br,M,Recife,PE
cliente4@outlook.com,M,Curitiba,PR
cliente68@gmail.com,M,Londrina,PR
cliente286@yahoo.com.br,F,Belo Horizonte,MG
cliente77@gmail.com,M,Recife,PE
cliente20@yahoo.com.br,M,Rio de Janeiro,RJ
cliente225@gmail.com,F,Campinas,SP
cliente202@yahoo.com.br,F,Florianópolis,SC
cliente105@bol.com.br,F,Cordisburgo,MG
cliente93@yahoo.com.br,F,Florianópolis,SC
cliente255@outlook.com,F,Caraguatatuba,SP
cliente238@gmail.com,M,São José dos Campos,SP
cliente106@outlook.com,M,Fortaleza,CE
cliente267@yahoo.com.br,F,Campinas,SP
cliente24@outlook.com,M,Jacareí,SP
cliente284@yahoo.com.br,M,Cotia,SP
cliente295@yahoo.com.br,M,São José dos Campos,SP
cliente219@outlook.com,M,Londrina,PR
cliente143@outlook.com,M,Manaus,AM
cliente232@gmail.com,F,Brasília,DF
cliente169@gmail.com,F,Angra dos Reis,RJ
cliente40@gmail.com,,Contagem,MG
cliente198@bol.com.br,F,São José dos Campos,SP
cliente272@outlook.com,M,Caraguatatuba,SP
cliente176@outlook.com,M,Curitiba,PR
cliente116@gmail.com,M,São Paulo,SP
cliente265@gmail.com,F,Campinas,SP
cliente264@outlook.com,F,Natal,RN
cliente125@outlook.com,F,São José dos Campos,SP
cliente263@outlook.com,M,São Paulo,SP
cliente7@outlook.com,M,Manaus,AM
cliente14@outlook.com,M,Fortaleza,CE
cliente177@outlook.com,M,Manaus,AM
cliente172@gmail.com,M,São Paulo,SP
cliente6@gmail.com,F,Manaus,AM
cliente137@outlook.com,M,Rio de Janeiro,RJ
cliente280@gmail.com,M,Londrina,PR
cliente28@outlook.com,M,Fortaleza,CE
cliente206@gmail.com,M,Curitiba,PR
cliente269@outlook.com,F,Cotia,SP
cliente26@bol.com.br,M,Belo Horizonte,MG
cliente256@gmail.com,,Rio de Janeiro,RJ
cliente54@outlook.com,F,Belo Horizonte,MG
